,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
46,VB,PRP,VB,IN,DT,NN,.,,,,,,,,,,,
47,VB,PRP,VB,IN,DT,JJ,NN,.,,,,,,,,,,
48,VB,PRP,VB,DT,NNS,.,,,,,,,,,,,,
49,VBP,PRP,VB,JJ,NN,MD,RB,VB,VBN,IN,DT,NN,CC,DT,NN,NN,.,
50,VBP,PRP,VB,JJ,NN,MD,RB,VB,VBN,IN,DT,NN,CC,DT,NN,NN,.,
51,VBP,PRP,VB,PRP$,NNS,VBP,VBN,NNS,.,,,,,,,,,
52,VBP,PRP,VB,RBR,JJ,JJ,DT,PRP$,NNS,.,,,,,,,,
53,VBP,PRP,VB,JJ,NN,IN,PRP$,JJ,NN,NN,.,,,,,,,
54,NNP,PRP,VB,PRP$,JJ,NN,.,,,,,,,,,,,
55,VB,PRP,VB,IN,DT,.,,,,,,,,,,,,
56,VBP,PRP,VB,DT,NN,IN,PRP$,JJ,.,,,,,,,,,
57,VB,PRP,VB,PRP$,NNS,IN,DT,NN,.,,,,,,,,,
58,VB,PRP,VB,PRP,VBD,DT,JJR,NN,CC,VBP,PRP,JJ,IN,PRP$,JJ,NN,.,
59,VB,PRP,VB,PRP,VBD,JJR,NNS,.,,,,,,,,,,
60,VBZ,PRP$,NN,RB,VBP,NNS,RB,.,,,,,,,,,,
61,VBZ,PRP$,NN,VBP,PRP,VB,JJ,CC,VBN,.,,,,,,,,
62,NNP,PRP$,NN,RB,VBD,PRP,TO,VB,DT,JJ,NN,.,,,,,,
63,VBP,PRP,RB,VBN,TO,DT,NN,NN,.,,,,,,,,,
64,VBP,PRP,RB,VBD,JJ,NN,CC,WRB,VBD,PRP,VB,.,,,,,,
65,VBP,PRP,RB,VBD,DT,NN,NN,CC,VBN,VBG,CD,.,,,,,,
66,VBP,PRP,RB,VBD,JJ,NN,.,,,,,,,,,,,
67,VBP,PRP,RB,VBD,DT,NN,.,,,,,,,,,,,
68,VBP,PRP,RB,VBD,RP,PRP$,NN,NN,.,,,,,,,,,
69,VB,PRP$,RB,VBN,NN,CC,RB,VB,PRP$,NN,.,,,,,,,
70,WRB,MD,NN,VB,PRP$,NN,.,,,,,,,,,,,
71,WRB,MD,NN,VB,PRP$,NN,.,,,,,,,,,,,
72,WRB,VBD,PRP$,NNS,VBP,NNS,VB,.,,,,,,,,,,
73,WRB,VB,PRP,VB,VBG,NN,IN,IN,NN,.,,,,,,,,
74,WRB,VB,PRP,VB,IN,NNS,IN,NN,NNS,.,,,,,,,,
75,WRB,VB,PRP,VB,IN,NN,NN,.,,,,,,,,,,
76,WRB,VB,PRP,VB,NN,.,,,,,,,,,,,,
77,WRB,VB,PRP,VB,PRP$,NN,RB,.,,,,,,,,,,
78,WRB,VBP,PRP,VB,VBG,PRP$,JJ,NN,.,,,,,,,,,
79,WRB,VBP,PRP,VB,IN,NN,NNS,.,,,,,,,,,,
80,WRB,VB,PRP,VB,IN,NN,WP,VBZ,IN,PRP,.,,,,,,,
81,WRB,VB,PRP,VB,PRP,IN,PRP$,NN,.,,,,,,,,,
82,WRB,VBP,PRP,VB,PRP,RP,RP,IN,VBG,DT,NN,IN,NN,.,,,,
83,WRB,VB,PRP,VB,PRP$,NN,NN,IN,PRP$,NN,NN,.,,,,,,
84,WRB,VB,PRP,VB,VB,TO,NNS,.,,,,,,,,,,
85,WRB,VB,PRP,VB,PRP$,NN,PRP,VBP,PRP,.,,,,,,,,
86,WRB,VB,PRP,VB,PRP$,NN,.,,,,,,,,,,,
87,WRB,VB,PRP,VB,DT,DT,IN,DT,NN,.,,,,,,,,
88,WRB,VB,PRP$,JJ,NNS,VBP,PRP$,JJ,NNS,IN,NN,.,,,,,,
89,WRB,VBZ,PRP$,NN,IN,PRP$,NN,VBD,IN,DT,NNS,.,,,,,,
90,WRB,VBZ,PRP$,NN,IN,DT,NN,VBD,IN,NN,.,,,,,,,
